 time            v(Clk)          v(Wr)           v(R0)           v(R1)           v(R2)           v(R3)           v(A0)           v(A1)           v(A2)           v(A3)           v(Xmain@0.net@117)
 3.50000000e-14  8.00000000e-01  8.00000000e-01  5.30781997e-01  5.30781997e-01  5.30781997e-01  5.30781997e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.02723618e-01 
 7.00000000e-14  8.00000000e-01  8.00000000e-01  5.30495575e-01  5.30495575e-01  5.30495575e-01  5.30495575e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.03349363e-01 
 1.40000000e-13  8.00000000e-01  8.00000000e-01  5.29220062e-01  5.29220062e-01  5.29220062e-01  5.29220062e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.02517242e-01 
 2.80000000e-13  8.00000000e-01  8.00000000e-01  5.26580711e-01  5.26580711e-01  5.26580711e-01  5.26580711e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.00762007e-01 
 5.60000000e-13  8.00000000e-01  8.00000000e-01  5.21034244e-01  5.21034244e-01  5.21034244e-01  5.21034244e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.97804082e-01 
 1.12000000e-12  8.00000000e-01  8.00000000e-01  5.09270960e-01  5.09270960e-01  5.09270960e-01  5.09270960e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.92800125e-01 
 2.24000000e-12  8.00000000e-01  8.00000000e-01  4.85601183e-01  4.85601183e-01  4.85601183e-01  4.85601183e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.85617260e-01 
 3.50000000e-12  8.00000000e-01  8.00000000e-01  4.61272607e-01  4.61272607e-01  4.61272607e-01  4.61272607e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.79217612e-01 
 3.72400000e-12  8.00000000e-01  8.00000000e-01  4.57360254e-01  4.57360254e-01  4.57360254e-01  4.57360254e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.78132446e-01 
 4.17200000e-12  8.00000000e-01  8.00000000e-01  4.49719998e-01  4.49719998e-01  4.49719998e-01  4.49719998e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.75785542e-01 
 5.06800000e-12  8.00000000e-01  8.00000000e-01  4.35420663e-01  4.35420663e-01  4.35420663e-01  4.35420663e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.69767129e-01 
 6.86000000e-12  8.00000000e-01  8.00000000e-01  4.09344144e-01  4.09344144e-01  4.09344144e-01  4.09344144e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.48133752e-01 
 1.03600000e-11  8.00000000e-01  8.00000000e-01  3.58483523e-01  3.58483523e-01  3.58483523e-01  3.58483523e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.67752600e-01 
 1.38600000e-11  8.00000000e-01  8.00000000e-01  2.88829291e-01  2.88829291e-01  2.88829291e-01  2.88829291e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56901584e-01 
 1.73600000e-11  8.00000000e-01  8.00000000e-01  1.82024223e-01  1.82024223e-01  1.82024223e-01  1.82024223e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.87144917e-02 
 2.08600000e-11  8.00000000e-01  8.00000000e-01  7.56591061e-02  7.56591061e-02  7.56591061e-02  7.56591060e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.23595883e-02 
 2.43600000e-11  8.00000000e-01  8.00000000e-01  2.00251930e-02  2.00251930e-02  2.00251930e-02  2.00251930e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.91391578e-03 
 2.78600000e-11  8.00000000e-01  8.00000000e-01  4.91424857e-03  4.91424857e-03  4.91424857e-03  4.91424857e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.29649884e-03 
